item_id	item_name	zone_id	zone_name	source_type	category
28292	A Living Fragment of Air	215	poair	npc_drop	elemental
29983	Air Arachnid Silk	215	poair	npc_drop	elemental
20896	Air Fetish	215	poair	npc_drop	elemental
29524	Air Mephit Blood	215	poair	npc_drop	elemental
31449	Air Mephit Skin	215	poair	npc_drop	elemental
26719	Alabaster Beak	215	poair	npc_drop	elemental
16152	Band of Fortitude	215	poair	npc_drop	elemental
9959	Band of Swirling Air	215	poair	npc_drop	elemental
24773	Bejeweled Dagger of Summoning	215	poair	npc_drop	elemental
22503	Blue Diamond	215	poair	npc_drop	elemental
16282	Brick of Ethereal Energy	215	poair	npc_drop	elemental
27273	Bulwark of Shimmering Steel	215	poair	npc_drop	elemental
29537	Chunk of Wind Metal	215	poair	npc_drop	elemental
26728	Cracked Ornamental Epaulet	215	poair	npc_drop	elemental
26095	Crow Footed Lance	215	poair	npc_drop	elemental
24784	Crystal Tipped Onyxwood Staff	215	poair	npc_drop	elemental
26734	Crystalline Shard	215	poair	npc_drop	elemental
27309	Defender of the Ancestral Spirit	215	poair	npc_drop	elemental
10037	Diamond	215	poair	npc_drop	elemental
16369	Elemental Bracer Mold	215	poair	npc_drop	elemental
16365	Elemental Chain Bracelet Pattern	215	poair	npc_drop	elemental
16362	Elemental Chain Coif Pattern	215	poair	npc_drop	elemental
16366	Elemental Chain Glove Pattern	215	poair	npc_drop	elemental
16367	Elemental Chain Pant Pattern	215	poair	npc_drop	elemental
16364	Elemental Chain Sleeve Pattern	215	poair	npc_drop	elemental
16374	Elemental Gauntlet Mold	215	poair	npc_drop	elemental
16373	Elemental Greaves Mold	215	poair	npc_drop	elemental
16371	Elemental Helm Mold	215	poair	npc_drop	elemental
16380	Elemental Leather Glove Pattern	215	poair	npc_drop	elemental
16376	Elemental Leather Helm Pattern	215	poair	npc_drop	elemental
16381	Elemental Leather Pant Pattern	215	poair	npc_drop	elemental
16378	Elemental Leather Sleeve Pattern	215	poair	npc_drop	elemental
16379	Elemental Leather Wrist Pattern	215	poair	npc_drop	elemental
16386	Elemental Silk Bracelet Pattern	215	poair	npc_drop	elemental
16387	Elemental Silk Glove Pattern	215	poair	npc_drop	elemental
16388	Elemental Silk Pant Pattern	215	poair	npc_drop	elemental
16385	Elemental Silk Sleeve Pattern	215	poair	npc_drop	elemental
16383	Elemental Silk Turban Pattern	215	poair	npc_drop	elemental
16372	Elemental Vambrace Mold	215	poair	npc_drop	elemental
15841	Ensorcelled Metalcloth Cape	215	poair	npc_drop	elemental
16263	Essence of Wind	215	poair	npc_drop	elemental
9586	Exquisite Leather Cap	215	poair	npc_drop	elemental
13672	Exquisite Phoenix Feather Mantle	215	poair	npc_drop	elemental
26737	Exquisite Puresteel Wraps	215	poair	npc_drop	elemental
30194	Featherwood Bow Staff	215	poair	npc_drop	elemental
29497	Featherwood Sap	215	poair	npc_drop	elemental
26729	Filmy Mephit Wing	215	poair	npc_drop	elemental
